Interval=	0.0005 s
ExcelDateTime=	4.5061542330543212e+004	5/15/2023 13:00:57.358933
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Channel 1	Channel 2
Range=	10.000 mV	10.000 V
0.402	-5.371	-0.000
0.4025	-5.247	-0.000
0.403	-5.075	-0.000
0.4035	-4.904	-0.000
0.404	-4.776	-0.000
0.4045	-4.699	-0.000
0.405	-4.645	-0.000
0.4055	-4.562	-0.000
0.406	-4.420	-0.000
0.4065	-4.215	-0.000
0.407	-3.953	-0.000
0.4075	-3.654	-0.000
0.408	-3.330	-0.000
0.4085	-2.981	-0.000
0.409	-2.611	-0.000
0.4095	-2.228	-0.000
0.41	-1.835	-0.000
0.4105	-1.451	-0.000
0.411	-1.103	-0.000
0.4115	-0.797	-0.000
0.412	-0.525	-0.000
0.4125	-0.298	-0.000
0.413	-0.121	-0.000
0.4135	0.025	-0.000
0.414	0.126	-0.000
0.4145	0.230	-0.000
0.415	0.353	-0.000
0.4155	0.491	-0.000
0.416	0.658	-0.000
0.4165	0.828	-0.000
0.417	0.996	-0.000
0.4175	1.170	-0.000
0.418	1.350	-0.000
0.4185	1.532	-0.000
0.419	1.706	-0.000
0.4195	1.837	-0.000
0.42	1.886	-0.000
0.4205	1.847	-0.000
0.421	1.740	-0.000
0.4215	1.599	-0.000
0.422	1.458	-0.000
0.4225	1.335	-0.000
0.423	1.229	-0.000
0.4235	1.128	-0.000
0.424	1.025	-0.000
0.4245	0.921	-0.000
0.425	0.827	-0.000
0.4255	0.778	-0.000
0.426	0.797	-0.000
0.4265	0.886	-0.000
0.427	1.032	-0.000
0.4275	1.209	-0.000
0.428	1.395	-0.000
0.4285	1.572	-0.000
0.429	1.728	-0.000
0.4295	1.854	-0.000
0.43	1.950	-0.000
0.4305	2.026	-0.000
0.431	2.086	-0.000
0.4315	2.127	-0.000
0.432	2.144	-0.000
0.4325	2.134	-0.000
0.433	2.088	-0.000
0.4335	2.030	-0.000
0.434	1.965	-0.000
0.4345	1.890	-0.000
0.435	1.827	-0.000
0.4355	1.784	-0.000
0.436	1.762	-0.000
0.4365	1.752	-0.000
0.437	1.750	-0.000
0.4375	1.753	-0.000
0.438	1.754	-0.000
0.4385	1.750	-0.000
0.439	1.740	-0.000
0.4395	1.731	-0.000
0.44	1.727	-0.000
0.4405	1.716	-0.000
0.441	1.690	-0.000
0.4415	1.650	-0.000
0.442	1.594	-0.000
0.4425	1.529	-0.000
0.443	1.463	-0.000
0.4435	1.397	-0.000
0.444	1.330	-0.000
0.4445	1.262	-0.000
0.445	1.197	-0.000
0.4455	1.145	-0.000
0.446	1.114	-0.000
0.4465	1.107	-0.000
0.447	1.124	-0.000
0.4475	1.152	-0.000
0.448	1.168	-0.000
0.4485	1.154	-0.000
0.449	1.098	-0.000
0.4495	0.997	-0.000
0.45	0.868	-0.000
0.4505	0.729	-0.000
0.451	0.580	-0.000
0.4515	0.420	-0.000
0.452	0.257	-0.000
0.4525	0.117	-0.000
0.453	0.007	-0.000
0.4535	-0.076	-0.000
0.454	-0.158	-0.000
0.4545	-0.255	-0.000
0.455	-0.350	-0.000
0.4555	-0.434	-0.000
0.456	-0.498	-0.000
0.4565	-0.529	-0.000
0.457	-0.515	-0.000
0.4575	-0.449	-0.000
0.458	-0.320	-0.000
0.4585	-0.119	-0.000
0.459	0.171	-0.000
0.4595	0.549	-0.000
0.46	0.983	-0.000
0.4605	1.438	-0.000
0.461	1.878	-0.000
0.4615	2.288	-0.000
0.462	2.656	-0.000
0.4625	2.962	-0.000
0.463	3.193	-0.000
0.4635	3.335	-0.000
0.464	3.389	-0.000
0.4645	3.376	-0.000
0.465	3.324	-0.000
0.4655	3.261	-0.000
0.466	3.219	-0.000
0.4665	3.219	-0.000
0.467	3.256	-0.000
0.4675	3.317	-0.000
0.468	3.396	-0.000
0.4685	3.498	-0.000
0.469	3.627	-0.000
0.4695	3.778	-0.000
0.47	3.948	-0.000
0.4705	4.133	-0.000
0.471	4.314	-0.000
0.4715	4.481	-0.000
0.472	4.635	-0.000
0.4725	4.766	-0.000
0.473	4.860	-0.000
0.4735	4.916	-0.000
0.474	4.919	-0.000
0.4745	4.871	-0.000
0.475	4.800	-0.000
0.4755	4.741	-0.000
0.476	4.721	-0.000
