Interval=	0.0005 s
ExcelDateTime=	4.5061542499698298e+004	5/15/2023 13:01:11.973933
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Channel 1
Range=	10.000 mV
14.977	0.283
14.9775	0.281
14.978	0.274
14.9785	0.263
14.979	0.251
14.9795	0.240
14.98	0.233
14.9805	0.231
14.981	0.241
14.9815	0.265
14.982	0.298
14.9825	0.327
14.983	0.342
14.9835	0.338
14.984	0.320
14.9845	0.291
14.985	0.237
14.9855	0.171
14.986	0.104
14.9865	0.032
14.987	-0.034
14.9875	-0.089
14.988	-0.132
14.9885	-0.170
14.989	-0.213
14.9895	-0.252
14.99	-0.280
14.9905	-0.294
14.991	-0.301
14.9915	-0.301
14.992	-0.295
14.9925	-0.285
14.993	-0.275
14.9935	-0.262
14.994	-0.249
14.9945	-0.241
14.995	-0.240
14.9955	-0.241
14.996	-0.233
14.9965	-0.214
14.997	-0.187
14.9975	-0.160
14.998	-0.134
14.9985	-0.116
14.999	-0.108
14.9995	-0.104
15	-0.104
15.0005	-0.105
15.001	-0.102
15.0015	-0.090
15.002	-0.066
15.0025	-0.029
15.003	0.020
15.0035	0.070
15.004	0.114
15.0045	0.147
15.005	0.155
15.0055	0.155
15.006	0.163
15.0065	0.162
15.007	0.156
15.0075	0.144
15.008	0.127
15.0085	0.108
15.009	0.091
15.0095	0.078
15.01	0.067
15.0105	0.057
15.011	0.046
15.0115	0.035
15.012	0.028
15.0125	0.026
15.013	0.025
15.0135	0.021
15.014	0.014
15.0145	0.004
15.015	-0.006
15.0155	-0.020
15.016	-0.034
15.0165	-0.044
15.017	-0.049
15.0175	-0.049
15.018	-0.044
15.0185	-0.041
15.019	-0.061
15.0195	-0.119
15.02	-0.222
15.0205	-0.376
15.021	-0.584
15.0215	-0.826
15.022	-1.048
15.0225	-1.207
15.023	-1.273
15.0235	-1.223
15.024	-1.054
15.0245	-0.796
15.025	-0.516
15.0255	-0.258
15.026	-0.055
15.0265	0.059
15.027	0.088
15.0275	0.052
15.028	-0.022
15.0285	-0.113
15.029	-0.212
15.0295	-0.314
15.03	-0.407
15.0305	-0.483
15.031	-0.539
15.0315	-0.571
15.032	-0.584
15.0325	-0.581
15.033	-0.567
15.0335	-0.543
15.034	-0.511
15.0345	-0.472
15.035	-0.432
15.0355	-0.391
15.036	-0.353
15.0365	-0.324
15.037	-0.300
15.0375	-0.270
15.038	-0.234
15.0385	-0.192
15.039	-0.147
15.0395	-0.105
15.04	-0.062
15.0405	-0.022
15.041	0.018
15.0415	0.056
15.042	0.084
15.0425	0.103
15.043	0.113
15.0435	0.114
15.044	0.112
15.0445	0.111
15.045	0.105
15.0455	0.110
15.046	0.134
15.0465	0.163
15.047	0.194
15.0475	0.224
15.048	0.250
15.0485	0.265
15.049	0.270
15.0495	0.273
15.05	0.283
15.0505	0.300
