Interval=	0.0005 s
ExcelDateTime=	4.5061510865477096e+004	5/15/2023 12:15:38.777221
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Channel 1
Range=	10.000 mV
130.7565	-1.425
130.757	-1.653
130.7575	-1.728
130.758	-1.598
130.7585	-1.418
130.759	-1.205
130.7595	-0.859
130.76	-0.529
130.7605	-0.247
130.761	-0.042
130.7615	0.075
130.762	0.138
130.7625	0.152
130.763	0.133
130.7635	0.090
130.764	0.039
130.7645	-0.004
130.765	-0.035
130.7655	-0.058
130.766	-0.086
130.7665	-0.121
130.767	-0.156
130.7675	-0.177
130.768	-0.183
130.7685	-0.187
130.769	-0.190
130.7695	-0.188
130.77	-0.175
130.7705	-0.156
130.771	-0.147
130.7715	-0.151
130.772	-0.154
130.7725	-0.152
130.773	-0.147
130.7735	-0.147
130.774	-0.149
130.7745	-0.142
130.775	-0.125
130.7755	-0.112
130.776	-0.109
130.7765	-0.116
130.777	-0.112
130.7775	-0.120
130.778	-0.108
130.7785	-0.161
130.779	-0.297
130.7795	-0.318
130.78	-0.300
130.7805	-0.283
130.781	-0.248
130.7815	-0.217
130.782	-0.177
130.7825	-0.148
130.783	-0.133
130.7835	-0.131
130.784	-0.138
130.7845	-0.145
130.785	-0.157
130.7855	-0.189
130.786	-0.248
130.7865	-0.319
130.787	-0.374
130.7875	-0.403
130.788	-0.421
130.7885	-0.445
130.789	-0.464
130.7895	-0.459
130.79	-0.423
130.7905	-0.372
130.791	-0.316
130.7915	-0.257
130.792	-0.188
130.7925	-0.125
130.793	-0.088
130.7935	-0.073
130.794	-0.059
130.7945	-0.038
130.795	-0.018
130.7955	-0.011
130.796	-0.013
130.7965	-0.020
130.797	-0.015
130.7975	-0.031
130.798	-0.034
130.7985	-0.097
130.799	-0.232
130.7995	-0.235
130.8	-0.202
130.8005	-0.185
130.801	-0.154
130.8015	-0.134
130.802	-0.114
130.8025	-0.114
130.803	-0.133
130.8035	-0.162
130.804	-0.193
130.8045	-0.224
130.805	-0.264
130.8055	-0.323
130.806	-0.397
130.8065	-0.461
130.807	-0.499
130.8075	-0.515
130.808	-0.525
130.8085	-0.535
130.809	-0.529
130.8095	-0.502
130.81	-0.462
130.8105	-0.420
130.811	-0.368
130.8115	-0.301
130.812	-0.225
130.8125	-0.154
130.813	-0.100
130.8135	-0.059
130.814	-0.021
130.8145	0.010
130.815	0.025
130.8155	0.027
130.816	0.030
130.8165	0.038
130.817	0.057
130.8175	0.047
130.818	0.054
130.8185	0.002
130.819	-0.124
130.8195	-0.122
130.82	-0.089
130.8205	-0.072
130.821	-0.033
130.8215	0.004
130.822	0.047
130.8225	0.077
130.823	0.100
130.8235	0.120
130.824	0.134
130.8245	0.134
130.825	0.112
130.8255	0.065
130.826	0.006
130.8265	-0.044
130.827	-0.080
130.8275	-0.113
